,NrSal,RS,SalN,SupL,Apa,Gaz,Pensia,Paturi,RataAb,AbsUniv,Volume,Cinema,PIB,Cerc,ProdVeg,ProdAn,Telefonie,Internet,Cazare,ExecB,RataC
NrSal,1.0,-0.5140623712655231,0.6762676813651877,0.5625491298087529,0.7481293681885512,0.5908565420999933,0.7582242134642893,0.6965185337494624,-0.04500341432120209,0.7625162493746732,-0.4067254544780083,0.3960568692471235,0.9565612868622696,0.6881498099725367,-0.5380724536564335,-0.5392374913090255,0.7855646282071914,0.5679031176328458,0.38115751957379695,0.8692711105470692,-0.1276015364343363
RS,-0.5140623712655231,1.0,-0.2944164503157533,-0.4041913096453057,-0.2645181811770245,-0.3340580036380965,-0.17742418884170633,-0.13262477612043672,-0.18275442468881714,-0.362182878194184,0.3503117732329903,-0.34297315517879756,-0.5300873388501955,-0.3763216784065897,0.20593807918026277,0.23979104130487647,-0.4389747081584066,-0.2923906974995126,-0.32540756087761524,-0.4737690199188127,0.04078855922565232
SalN,0.6762676813651878,-0.2944164503157533,1.0,0.35238301363011304,0.5397251372766285,0.3385417738890317,0.5361563376063576,0.36182891834557146,-0.13377775846255632,0.6560576285057155,-0.6813542237147987,0.34119645526634557,0.7863237317092984,0.768459615587034,-0.6319878721973811,-0.56998154281826,0.49437577279528555,0.0439199935385633,0.10409960066419453,0.7420766641732469,-0.3735856095239782
SupL,0.5625491298087529,-0.4041913096453057,0.35238301363011304,1.0,0.16073466856379248,0.41558748705299364,0.17498710064703915,0.17040330836494172,-0.0036514333247516556,0.15350702342714356,-0.20640399450630512,-0.10599206984334693,0.5986462485594617,0.35963881556495036,-0.2388706765597068,-0.16707601868654967,0.20407985596048536,0.22660071388292957,0.10520375777104815,0.6057425036946584,-0.26328434258378597
Apa,0.7481293681885512,-0.2645181811770245,0.5397251372766285,0.16073466856379248,1.0,0.4470306132695217,0.6880527954174818,0.6420627595557835,0.09383873525000262,0.809353991247751,-0.14784088994999578,0.5100098543603351,0.701383659296537,0.5033980036323745,-0.4676063297155721,-0.44759601740641014,0.7807933774231103,0.39657900609071484,0.4339149624752689,0.5966938257803026,-0.10486009997547209
Gaz,0.5908565420999933,-0.3340580036380965,0.3385417738890317,0.41558748705299364,0.4470306132695217,1.0,0.5472352421586577,0.4679539366531946,-0.027092110028733983,0.40496292389117367,-0.1821888302520655,0.020594222577394624,0.5841604921442028,0.4398574498621364,-0.5102452478450851,-0.1516893658977496,0.4116376347455925,0.20810724295215804,0.17162131991817775,0.45566770367837317,-0.009913896613867738
Pensia,0.7582242134642893,-0.17742418884170633,0.5361563376063577,0.17498710064703912,0.6880527954174818,0.5472352421586577,1.0,0.6755831033548372,-0.12328405911925405,0.7289467760079317,-0.33942924610697744,0.31276435426305227,0.6988015071837985,0.5168618956307779,-0.6553448360065072,-0.5945454999557811,0.7061991205735055,0.43597701957036955,0.3797130945918548,0.5102328698742549,0.050309584625829074
Paturi,0.6965185337494623,-0.13262477612043672,0.36182891834557146,0.17040330836494175,0.6420627595557835,0.4679539366531946,0.6755831033548372,0.9999999999999998,-0.21201994020053255,0.7003473207507447,-0.038073380274302494,0.3019714975667685,0.6289618825450277,0.4814556953697173,-0.4535123651165277,-0.34982442754127946,0.6813775589599583,0.49398295899472844,0.19839418546891366,0.5241042254910201,-0.03648583408175784
RataAb,-0.0450034143212021,-0.18275442468881714,-0.13377775846255632,-0.0036514333247516565,0.09383873525000262,-0.027092110028733983,-0.12328405911925405,-0.21201994020053255,1.0,0.027733972162437386,-0.010725237243410795,0.20719790455384213,-0.09249857855157684,-0.11719295125591069,0.28527091263658794,0.06520588303707688,0.05306456014549811,0.06666664826134903,0.265424444062867,-0.00976904587100411,0.05061070793645938
AbsUniv,0.7625162493746732,-0.362182878194184,0.6560576285057155,0.1535070234271436,0.809353991247751,0.40496292389117367,0.7289467760079316,0.7003473207507448,0.02773397216243739,1.0,-0.4018917069883596,0.46347731467684894,0.7545798938821646,0.6927098698882503,-0.502821008762656,-0.6040589598083631,0.87096974178082,0.45950503071915816,0.2775943631884446,0.6374218679634621,-0.09532299663831376
Volume,-0.4067254544780083,0.35031177323299034,-0.6813542237147987,-0.2064039945063051,-0.14784088994999578,-0.1821888302520655,-0.33942924610697744,-0.0380733802743025,-0.010725237243410794,-0.4018917069883596,1.0,-0.22034715475749414,-0.49562863109028266,-0.653207028927586,0.45435736128892606,0.5054319121706766,-0.23512033632538606,0.1362079050074353,-0.04885290904733574,-0.4637528388295454,0.22905155367523033
Cinema,0.39605686924712347,-0.34297315517879756,0.3411964552663456,-0.10599206984334693,0.5100098543603351,0.020594222577394627,0.3127643542630523,0.30197149756676855,0.20719790455384213,0.46347731467684894,-0.22034715475749414,1.0,0.39328339437659965,0.2701337125500948,-0.105064353440728,-0.41773951863230274,0.393331308116514,0.11190321786889769,0.6778010162814362,0.2764397447852122,-0.017714374242827534
PIB,0.9565612868622695,-0.5300873388501955,0.7863237317092984,0.5986462485594616,0.7013836592965369,0.5841604921442028,0.6988015071837984,0.6289618825450277,-0.09249857855157684,0.7545798938821645,-0.49562863109028266,0.39328339437659965,1.0,0.7574428778846748,-0.5941745807830505,-0.518469841034999,0.7304063599837577,0.4382798930817095,0.3525649302315283,0.8931672690860344,-0.24595507267105626
Cerc,0.6881498099725367,-0.3763216784065897,0.768459615587034,0.35963881556495036,0.5033980036323745,0.4398574498621363,0.516861895630778,0.4814556953697172,-0.11719295125591069,0.6927098698882503,-0.653207028927586,0.2701337125500948,0.7574428778846747,1.0,-0.5607586813310883,-0.5520121820315088,0.46035768837225644,0.04950964590413477,0.06964515244921493,0.7024384674419539,-0.2971062106012797
ProdVeg,-0.5380724536564335,0.20593807918026277,-0.631987872197381,-0.2388706765597068,-0.4676063297155721,-0.5102452478450851,-0.6553448360065071,-0.4535123651165277,0.28527091263658794,-0.502821008762656,0.454357361288926,-0.105064353440728,-0.5941745807830505,-0.5607586813310883,1.0,0.5649477754803385,-0.46684785293242564,-0.06501158774453572,-0.19017675650373628,-0.5273828832239866,0.12284917845990229
ProdAn,-0.5392374913090257,0.23979104130487644,-0.5699815428182599,-0.16707601868654967,-0.4475960174064102,-0.1516893658977496,-0.5945454999557811,-0.3498244275412795,0.06520588303707688,-0.604058959808363,0.5054319121706766,-0.41773951863230274,-0.518469841034999,-0.5520121820315089,0.5649477754803385,1.0,-0.5602804051527797,-0.20164311370139773,-0.28939868705548066,-0.5231159648165756,-0.004706450733757443
Telefonie,0.7855646282071914,-0.4389747081584066,0.49437577279528555,0.2040798559604854,0.7807933774231103,0.4116376347455925,0.7061991205735055,0.6813775589599583,0.05306456014549812,0.87096974178082,-0.23512033632538606,0.393331308116514,0.7304063599837577,0.4603576883722564,-0.4668478529324257,-0.5602804051527797,1.0,0.6967877166913913,0.272610103199774,0.6577060160839229,0.07952268949296927
Internet,0.5679031176328458,-0.2923906974995126,0.0439199935385633,0.22660071388292957,0.39657900609071484,0.20810724295215804,0.43597701957036955,0.49398295899472844,0.06666664826134903,0.45950503071915816,0.1362079050074353,0.11190321786889769,0.4382798930817095,0.04950964590413477,-0.06501158774453572,-0.20164311370139773,0.6967877166913913,1.0,0.25156376518525864,0.41545441878573525,0.04750283289366561
Cazare,0.38115751957379695,-0.3254075608776153,0.10409960066419453,0.10520375777104815,0.4339149624752689,0.17162131991817778,0.3797130945918548,0.19839418546891366,0.265424444062867,0.2775943631884446,-0.04885290904733573,0.6778010162814362,0.35256493023152835,0.06964515244921493,-0.19017675650373628,-0.28939868705548066,0.2726101031997741,0.25156376518525864,1.0,0.21796939570525542,-0.16068651390241287
ExecB,0.8692711105470692,-0.4737690199188127,0.7420766641732469,0.6057425036946584,0.5966938257803027,0.4556677036783732,0.5102328698742549,0.5241042254910201,-0.009769045871004108,0.6374218679634621,-0.4637528388295454,0.2764397447852122,0.8931672690860343,0.7024384674419539,-0.5273828832239866,-0.5231159648165756,0.6577060160839228,0.4154544187857352,0.21796939570525542,0.9999999999999999,-0.2651376821919502
RataC,-0.1276015364343363,0.04078855922565231,-0.3735856095239782,-0.26328434258378597,-0.10486009997547209,-0.009913896613867738,0.050309584625829074,-0.03648583408175784,0.05061070793645939,-0.09532299663831376,0.2290515536752303,-0.017714374242827534,-0.24595507267105626,-0.2971062106012797,0.12284917845990229,-0.004706450733757443,0.07952268949296926,0.04750283289366561,-0.16068651390241287,-0.2651376821919502,1.0
